Timestamp,Container,CPU Usage,Memory Usage
2023-11-30 8:01,EVAM Cam 1,24.93%,53.46
2023-11-30 8:01,EVAM Cam 2,18.05%,77.82
2023-11-30 8:11,Visualizer,694.26%,1.379GiB
2023-11-30 8:11,EVAM Cam 1,25.00%,40.41
2023-11-30 8:11,EVAM Cam 2,17.55%,77.44
2023-11-30 8:21,Visualizer,697.52%,1.318GiB
2023-11-30 8:21,EVAM Cam 1,25.10%,40.35
2023-11-30 8:21,EVAM Cam 2,17.53%,77.68
2023-11-30 8:31,Visualizer,676.02%,1.427GiB
2023-11-30 8:31,EVAM Cam 1,25.44%,67.63
2023-11-30 8:31,EVAM Cam 2,20.64%,77.34
2023-11-30 8:41,Visualizer,709.83%,1.367GiB
2023-11-30 8:41,EVAM Cam 1,25.35%,143.7
2023-11-30 8:41,EVAM Cam 2,17.61%,77.34
2023-11-30 8:51,Visualizer,693.41%,1.382GiB
2023-11-30 8:51,EVAM Cam 1,25.11%,96.68
2023-11-30 8:51,EVAM Cam 2,17.47%,77.3
